song_id,status,model,classifier_version,content_token_count,chunk_count,content_budget,source_words,normalized_words,lyrics_sha256,normalized_sha256,identity_attack__max,identity_attack__mean,identity_attack__q90,identity_attack__token_weighted_mean,insult__max,insult__mean,insult__q90,insult__token_weighted_mean,obscene__max,obscene__mean,obscene__q90,obscene__token_weighted_mean,severe_toxicity__max,severe_toxicity__mean,severe_toxicity__q90,severe_toxicity__token_weighted_mean,sexual_explicit__max,sexual_explicit__mean,sexual_explicit__q90,sexual_explicit__token_weighted_mean,threat__max,threat__mean,threat__q90,threat__token_weighted_mean,toxicity__max,toxicity__mean,toxicity__q90,toxicity__token_weighted_mean
song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,success,detoxify,classifier-panel-v1,259,1,510,166,166,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,0.0023440432269126177,0.0023440432269126177,0.0023440432269126177,0.0023440432269126177,0.0007211262709461153,0.0007211262709461153,0.0007211262709461153,0.0007211262709461153,0.00043298915261402726,0.00043298915261402726,0.00043298915261402726,0.00043298915261402726,2.326497997273691e-05,2.326497997273691e-05,2.326497997273691e-05,2.326497997273691e-05,0.0006332724005915225,0.0006332724005915225,0.0006332724005915225,0.0006332724005915225,7.142221147660166e-05,7.142221147660166e-05,7.142221147660166e-05,7.142221147660166e-05,0.004013258032500744,0.004013258032500744,0.004013258032500744,0.004013258032500744
song_9e3641d00273b9a3b09faf3dccb66583183d28fbee8e60268cab00bc7002cae4,success,detoxify,classifier-panel-v1,276,1,510,193,193,a991e07372e3587fdce379d51914f170e256165bd1fb642fa0bc1d94db769383,a991e07372e3587fdce379d51914f170e256165bd1fb642fa0bc1d94db769383,0.00039688192191533744,0.00039688192191533744,0.00039688192191533744,0.00039688192191533744,0.00036709822597913444,0.00036709822597913444,0.00036709822597913444,0.00036709822597913444,0.0002770128194242716,0.0002770128194242716,0.0002770128194242716,0.0002770128194242716,9.5694722404005e-06,9.5694722404005e-06,9.5694722404005e-06,9.5694722404005e-06,0.0004158700176049024,0.0004158700176049024,0.0004158700176049024,0.0004158700176049024,5.182420864002779e-05,5.182420864002779e-05,5.182420864002779e-05,5.182420864002779e-05,0.0017573810182511806,0.0017573810182511806,0.0017573810182511806,0.0017573810182511806
song_59328e4ef495b0a2eead2600eb40694f1921b10840b1f242e3580ce8c59f8a86,success,detoxify,classifier-panel-v1,344,1,510,234,234,6abbe2290340e13d37d5c5ef3ab7736b0b8c80565eb6b92483d56c64a2a43251,6abbe2290340e13d37d5c5ef3ab7736b0b8c80565eb6b92483d56c64a2a43251,0.002119711833074689,0.002119711833074689,0.002119711833074689,0.002119711833074689,0.03842855617403984,0.03842855617403984,0.03842855617403984,0.03842855617403984,0.0014002935495227575,0.0014002935495227575,0.0014002935495227575,0.0014002935495227575,2.1836685846210457e-05,2.1836685846210457e-05,2.1836685846210457e-05,2.1836685846210457e-05,0.00044720160076394677,0.00044720160076394677,0.00044720160076394677,0.00044720160076394677,0.00014425834524445236,0.00014425834524445236,0.00014425834524445236,0.00014425834524445236,0.04741428419947624,0.04741428419947624,0.04741428419947624,0.04741428419947624
song_c4eabeecb02281b19acf05dac0942d25da1b7cae44fc83479a18c5a5594546ab,success,detoxify,classifier-panel-v1,309,1,510,196,196,389f8fe04bdf7f4bb6f46f6bd45a97b00e26a61411fbff4ae9aa073b5aa80fe2,389f8fe04bdf7f4bb6f46f6bd45a97b00e26a61411fbff4ae9aa073b5aa80fe2,0.0013635109644383192,0.0013635109644383192,0.0013635109644383192,0.0013635109644383192,0.1673702895641327,0.1673702895641327,0.1673702895641327,0.1673702895641327,0.006584067828953266,0.006584067828953266,0.006584067828953266,0.006584067828953266,2.995726936205756e-05,2.995726936205756e-05,2.995726936205756e-05,2.995726936205756e-05,0.0013569482835009694,0.0013569482835009694,0.0013569482835009694,0.0013569482835009694,8.885347051545978e-05,8.885347051545978e-05,8.885347051545978e-05,8.885347051545978e-05,0.1918158084154129,0.1918158084154129,0.1918158084154129,0.1918158084154129
song_fed7c74ad967767c8732088a2935e6279881ee63bf2cc773490807c416c8707a,success,detoxify,classifier-panel-v1,268,1,510,128,128,6e22ecd5fe7ffbf1c9c0b96f62ffafff3147325f976ec3c7d0af8cde8f6b321a,6e22ecd5fe7ffbf1c9c0b96f62ffafff3147325f976ec3c7d0af8cde8f6b321a,0.0013040470657870173,0.0013040470657870173,0.0013040470657870173,0.0013040470657870173,0.0012991181574761868,0.0012991181574761868,0.0012991181574761868,0.0012991181574761868,0.0044417246244847775,0.0044417246244847775,0.0044417246244847775,0.0044417246244847775,3.2980409741867334e-05,3.2980409741867334e-05,3.2980409741867334e-05,3.2980409741867334e-05,0.0003740497922990471,0.0003740497922990471,0.0003740497922990471,0.0003740497922990471,0.00014001539966557175,0.00014001539966557175,0.00014001539966557175,0.00014001539966557175,0.014345807023346424,0.014345807023346424,0.014345807023346424,0.014345807023346424
song_0349520b5c7c2e4422a70fce1d2df78432df63f0a6e704fa01bbfef8e34ebe24,success,detoxify,classifier-panel-v1,213,1,510,169,169,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,0.00016441982006654143,0.00016441982006654143,0.00016441982006654143,0.00016441982006654143,0.0008908028248697519,0.0008908028248697519,0.0008908028248697519,0.0008908028248697519,0.0004791039973497391,0.0004791039973497391,0.0004791039973497391,0.0004791039973497391,6.761140866728965e-06,6.761140866728965e-06,6.761140866728965e-06,6.761140866728965e-06,0.00022693969367537647,0.00022693969367537647,0.00022693969367537647,0.00022693969367537647,9.555140422889963e-05,9.555140422889963e-05,9.555140422889963e-05,9.555140422889963e-05,0.00462695024907589,0.00462695024907589,0.00462695024907589,0.00462695024907589
song_b32a265f2ff03acfa08f045465ca51a6fb31e221f2824a03ef7c5889cee866af,success,detoxify,classifier-panel-v1,178,1,510,132,132,e9662c513697a8ff6a505aa8d0aaa5a7a41275ba9049efc772945a694373b4ee,e9662c513697a8ff6a505aa8d0aaa5a7a41275ba9049efc772945a694373b4ee,0.00012003078154521063,0.00012003078154521063,0.00012003078154521063,0.00012003078154521063,0.00021686307445634156,0.00021686307445634156,0.00021686307445634156,0.00021686307445634156,0.0003378524852450937,0.0003378524852450937,0.0003378524852450937,0.0003378524852450937,9.956976100511383e-06,9.956976100511383e-06,9.956976100511383e-06,9.956976100511383e-06,0.0005567324697040021,0.0005567324697040021,0.0005567324697040021,0.0005567324697040021,6.498539733001962e-05,6.498539733001962e-05,6.498539733001962e-05,6.498539733001962e-05,0.002188611775636673,0.002188611775636673,0.002188611775636673,0.002188611775636673
song_35ce7e7873a409ae1706d3313a3b256be8827fa7b204440d044e01006d777cb8,success,detoxify,classifier-panel-v1,184,1,510,139,139,9f0ce0233b2ed90bc98a08adb36a6aa9575b95c4c7e60b47a9ba487e5264f61f,9f0ce0233b2ed90bc98a08adb36a6aa9575b95c4c7e60b47a9ba487e5264f61f,0.08401154726743698,0.08401154726743698,0.08401154726743698,0.08401154726743698,0.4496403932571411,0.4496403932571411,0.4496403932571411,0.4496403932571411,0.0031016941647976637,0.0031016941647976637,0.0031016941647976637,0.0031016941647976637,0.00015818668180145323,0.00015818668180145323,0.00015818668180145323,0.00015818668180145323,0.001670229365117848,0.001670229365117848,0.001670229365117848,0.001670229365117848,0.00016165351553354412,0.00016165351553354412,0.00016165351553354412,0.00016165351553354412,0.6198769807815552,0.6198769807815552,0.6198769807815552,0.6198769807815552
song_4a225ece50c775ee4f1d96ae38d401c088742b3f1525d0467f18be399a7233b9,success,detoxify,classifier-panel-v1,207,1,510,175,175,4c5c8b4307b1ff5c1ab7043c183cbe434898fba88ed264b25b54bc610bc34d50,4c5c8b4307b1ff5c1ab7043c183cbe434898fba88ed264b25b54bc610bc34d50,0.00014519177784677595,0.00014519177784677595,0.00014519177784677595,0.00014519177784677595,0.0004912980948574841,0.0004912980948574841,0.0004912980948574841,0.0004912980948574841,0.000282923603663221,0.000282923603663221,0.000282923603663221,0.000282923603663221,4.853181053476874e-06,4.853181053476874e-06,4.853181053476874e-06,4.853181053476874e-06,0.00020041398238390684,0.00020041398238390684,0.00020041398238390684,0.00020041398238390684,0.00014300819020718336,0.00014300819020718336,0.00014300819020718336,0.00014300819020718336,0.0033715020399540663,0.0033715020399540663,0.0033715020399540663,0.0033715020399540663
song_6dc4b05872cf526300be88208f4fd48cdc16f207b865ca7c05fd42fcada13675,success,detoxify,classifier-panel-v1,158,1,510,119,119,1745409b22da4b50895ff3d70ff22ba4939aadcbf6f1648fb684eb3adf0a8ae4,1745409b22da4b50895ff3d70ff22ba4939aadcbf6f1648fb684eb3adf0a8ae4,0.00011956903472309932,0.00011956903472309932,0.00011956903472309932,0.00011956903472309932,0.0001471626601414755,0.0001471626601414755,0.0001471626601414755,0.0001471626601414755,8.708363020559773e-05,8.708363020559773e-05,8.708363020559773e-05,8.708363020559773e-05,3.6057365377928363e-06,3.6057365377928363e-06,3.6057365377928363e-06,3.6057365377928363e-06,3.126884621451609e-05,3.126884621451609e-05,3.126884621451609e-05,3.126884621451609e-05,0.0002214985288446769,0.0002214985288446769,0.0002214985288446769,0.0002214985288446769,0.0011467192089185119,0.0011467192089185119,0.0011467192089185119,0.0011467192089185119
