model,label,aggregation,side,rank,song_id,title,artist,score
detoxify,toxicity,token_weighted_mean,high,3,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.9930730064709982
detoxify,severe_toxicity,token_weighted_mean,low,1,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,1.283591359424463e-06
detoxify,severe_toxicity,token_weighted_mean,low,2,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,1.3206553148847888e-06
detoxify,severe_toxicity,token_weighted_mean,low,3,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,1.3293654319568304e-06
detoxify,severe_toxicity,token_weighted_mean,high,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.43901195128758747
detoxify,severe_toxicity,token_weighted_mean,high,2,song_8e7a07712e424d6dc71b31f594afafc6604cf5d4f09fcf81c91908a2c45b979d,Anaconda,Nicki Minaj,0.23634088411927223
detoxify,severe_toxicity,token_weighted_mean,high,3,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.21994028488794962
detoxify,obscene,token_weighted_mean,low,1,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,3.238518183934502e-05
detoxify,obscene,token_weighted_mean,low,2,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,3.381581700523384e-05
detoxify,obscene,token_weighted_mean,low,3,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,3.442978413659148e-05
detoxify,obscene,token_weighted_mean,high,1,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.979826013247172
detoxify,obscene,token_weighted_mean,high,2,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9785167177518209
detoxify,obscene,token_weighted_mean,high,3,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.9588292241096497
detoxify,identity_attack,token_weighted_mean,low,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,5.337901529856026e-05
detoxify,identity_attack,token_weighted_mean,low,2,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,6.185105303302407e-05
detoxify,identity_attack,token_weighted_mean,low,3,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,6.210502033354715e-05
