model,songs,chunks,multi_chunk_songs,max_chunks,load_seconds,processing_seconds,total_seconds,seconds_per_song,estimated_full_hours,peak_rss_bytes
lyriclens,200,202,2,2,5.024320708122104,125.32433199998923,130.34865270811133,0.6266216599999461,3.3733164217297444,1570717696
detoxify,200,281,65,3,3.896161832846701,29.610215292079374,33.506377124926075,0.14805107646039686,0.797761559728793,1347272704
goemotions,200,281,65,3,1.930906708119437,28.178933791816235,30.10984049993567,0.14089466895908118,0.7587062316065111,945782784
cardiff,200,279,64,3,3.0228625829331577,26.601137707941234,29.624000290874392,0.13300568853970618,0.7165580724928113,1219362816
