column,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
ll_sexual_content,200,0.0008586191106587648,0.9992576241493225,0.5139171186282042,0.6103951930999756,0.44788276945370714,0.003089766297489405,0.015558527782559395,0.9916720986366272,0.9977193593978881,0,0,41,53
ll_violence,200,0.0004991397727280855,0.999237060546875,0.2081232628188665,0.007363192504271865,0.3745879030890461,0.001112547644879669,0.00348652241518721,0.08581722155213356,0.9969305664300918,0,0,117,29
ll_explicit_language,200,0.0007651577470824122,0.9996194839477539,0.28410476414509284,0.02467731386423111,0.40445696336046205,0.0017649200395680967,0.0045749632408842444,0.6198359280824661,0.9973509073257446,0,0,84,37
ll_substance_use,200,0.0003945846692658961,0.999404788017273,0.2345663765600294,0.006828123005107045,0.4026517061023981,0.0010178715368965642,0.0028177162748761475,0.16035766527056694,0.9966511279344559,0,0,121,28
detox_toxicity,200,0.00035254747490398586,0.9952962398529053,0.21181816208546694,0.03692451545715443,0.3196222645509574,0.001037886472477112,0.004822167218662798,0.2762633508567774,0.9587067330534798,0,0,71,3
detox_severe_toxicity,200,1.283591359424463e-06,0.43901195128758747,0.00942858777585282,4.417115815158468e-05,0.04225976041399258,3.169544334014063e-06,1.3576101309809019e-05,0.0002765447352430783,0.04900906988750895,0,0,179,0
detox_obscene,200,3.238518183934502e-05,0.979826013247172,0.12553933567325468,0.0032464134274050593,0.27770946901461624,8.650670242786875e-05,0.0005640254421450663,0.0403944669770259,0.9104992026164405,0,0,127,0
detox_threat,200,1.551954665046651e-05,0.5534355640411377,0.008278172759210528,0.00026342543424107134,0.04926166633700692,3.0115936624497408e-05,8.292840720969252e-05,0.001347583209280856,0.019370330125093437,0,0,184,0
detox_insult,200,0.00010439434845466167,0.8722209731737772,0.09007270790492747,0.0032497477950528264,0.19095543775494406,0.00021677840195479802,0.0007606214931001887,0.04187638033181429,0.5373457208275795,0,0,128,0
detox_identity_attack,200,5.337901529856026e-05,0.7376680572827657,0.01986604502237153,0.0011415792832849547,0.07330962011594339,0.00011921562836505473,0.00040994081791723147,0.005052564553732142,0.09794484057153226,0,0,165,0
detox_sexual_explicit,200,1.3729860256717075e-05,0.8855344653129578,0.03788390792875025,0.0013103028959177657,0.11605231848629564,4.389528003230226e-05,0.00032437974005006254,0.007827090286302464,0.21640129413771061,0,0,151,0
emotion_admiration,200,0.000515835708938539,0.7779138684272766,0.0291888410044813,0.003983529866673052,0.09338598080946005,0.0008953212178312242,0.0015830942934105217,0.011514816200360656,0.10427132026525193,0,0,141,0
emotion_amusement,200,0.0004457161121536046,0.6105807476418473,0.014742560385100327,0.002168470062315464,0.05776158058707353,0.0007583403639728203,0.0012637005129363388,0.0051080356643069535,0.049896357487887094,0,0,168,0
emotion_anger,200,0.0005953662330284715,0.45302124321460724,0.028007931312057373,0.005289752967655659,0.06945633323663947,0.0012054445319032918,0.0025683983832596145,0.014022971736267209,0.13880117461085242,0,0,132,0
emotion_annoyance,200,0.0018228584667667747,0.47250548005104065,0.05669454004067697,0.016677257604897022,0.09199771876158876,0.0037299545074347407,0.008338691420752069,0.05864291482915481,0.2855827754212603,0,0,61,0
emotion_approval,200,0.00422704080119729,0.44774460792541504,0.04948273037784394,0.026395862106456173,0.06007711970830655,0.008869542879983783,0.014410385035884741,0.0664700735360384,0.15844513028860074,0,0,17,0
emotion_caring,200,0.0004886089591309428,0.6540184020996094,0.04082058029328996,0.007241836981847882,0.1051369570506205,0.0011657296534394845,0.0026573183616468063,0.021683356036568523,0.27629271243975134,0,0,114,0
