song_id,classifier_version,lyrics_sha256,source_words,processing_status,lyriclens_status,lyriclens_token_count,lyriclens_chunk_count,lyriclens_normalized_sha256,lyriclens_model_revision,lyriclens_checkpoint_sha256,detoxify_status,detoxify_token_count,detoxify_chunk_count,detoxify_normalized_sha256,detoxify_model_revision,detoxify_checkpoint_sha256,goemotions_status,goemotions_token_count,goemotions_chunk_count,goemotions_normalized_sha256,goemotions_model_revision,goemotions_checkpoint_sha256,cardiff_status,cardiff_token_count,cardiff_chunk_count,cardiff_normalized_sha256,cardiff_model_revision,cardiff_checkpoint_sha256,ll_sexual_content,ll_violence,ll_explicit_language,ll_substance_use,detox_toxicity,detox_severe_toxicity,detox_obscene,detox_threat,detox_insult,detox_identity_attack,detox_sexual_explicit,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,sentiment_negative,sentiment_neutral,sentiment_positive
song_0213bb2ca26a8b0e613f83fdc3a1bf713269c08a2c6cbcb19d0e85cd0bb40e4f,four-model-production-v1,04777903aa8c02a62328e5ba61e2ad3f54cab587c6bcb354cc4f87633894498e,252,complete,success,326,1,694ee1846b888406c8bd58e677ed3d20c3355e75081eba36f7f4cf6f7977dc1e,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,459,1,04777903aa8c02a62328e5ba61e2ad3f54cab587c6bcb354cc4f87633894498e,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,459,1,04777903aa8c02a62328e5ba61e2ad3f54cab587c6bcb354cc4f87633894498e,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,397,1,04777903aa8c02a62328e5ba61e2ad3f54cab587c6bcb354cc4f87633894498e,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.9925670623779297,0.00673894165083766,0.0041030594147741795,0.006735802162438631,0.013687372207641602,5.53898535144981e-05,0.0013625387800857425,0.00013119970390107483,0.0023175019305199385,0.0034125728998333216,0.0016155513003468513,0.03310483694076538,0.018075931817293167,0.0013722693547606468,0.003418545937165618,0.09361729025840759,0.013834811747074127,0.004890788812190294,0.019484512507915497,0.021443728357553482,0.0013142130337655544,0.0037698240485042334,0.0005199598963372409,0.000430272746598348,0.2563912868499756,0.0012034355895593762,0.0012526087230071425,0.0005424669361673295,0.5548717975616455,0.0181922297924757,0.0018796095391735435,0.04274512827396393,0.003522271756082773,0.0047189584001898766,0.007643121760338545,0.000616938341408968,0.0014034396735951304,0.0027867574244737625,0.12411109358072281,0.26284077763557434,0.35041749477386475,0.3867417573928833
song_02774fe4f56b6d0a37952e7ecde8456be181bcb74ccb21de416a2aaf61e6f01c,four-model-production-v1,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,294,complete,success,548,1,dcf6256ff783185cb1165ed9d66ab21023934ed7d78271fd7c89a5a8a4e7f239,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,744,2,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,744,2,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,610,2,4d70fc4227138ad3717ab54a0b9660fd2c220b52ffb6acfc1330f9929bf12508,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.0824601873755455,0.0006337040686048567,0.03831254690885544,0.10135780274868011,0.02315482124686241,4.148470861764508e-05,0.0025448795058764517,0.00011443976654845756,0.0029469636356225237,0.005882157624000683,0.0005877739458810538,0.0020472370670177042,0.0031858624424785376,0.001735511759761721,0.007220880361273885,0.024404854513704777,0.0015226518153212965,0.002489861741196364,0.0014633841346949339,0.0017174372333101928,0.0028075185837224126,0.0022158141946420074,0.0023078774102032185,0.000847522693220526,0.0032985559664666653,0.0016825043130666018,0.0007364342454820871,0.0004666051099775359,0.002950610825791955,0.0015146572841331363,0.0005899679235881194,0.002910536713898182,0.00048746012907940894,0.012115547899156809,0.0006651331786997616,0.00040122777863871306,0.00210553384386003,0.0012790682958438993,0.9602775871753693,0.2329046055674553,0.4418369233608246,0.3252584636211395
song_0349520b5c7c2e4422a70fce1d2df78432df63f0a6e704fa01bbfef8e34ebe24,four-model-production-v1,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,169,complete,success,183,1,977bbe55cea7f68f30cc371ffd6c9ab2522df084bc00e0914a72680f71e9947d,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,213,1,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,213,1,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,204,1,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.9142897129058838,0.0029325387440621853,0.0019303886219859123,0.003500421531498432,0.00462695024907589,6.761140866728965e-06,0.0004791039973497391,9.555140422889963e-05,0.0008908028248697519,0.00016441982006654143,0.00022693969367537647,0.0022750620264559984,0.0016342742601409554,0.010904338210821152,0.045910198241472244,0.011271651834249496,0.015074525028467178,0.08403007686138153,0.017744500190019608,0.03491632267832756,0.35655468702316284,0.021052032709121704,0.005049070343375206,0.004999053198844194,0.0031354811508208513,0.007573040202260017,0.0008228613878600299,0.010782700963318348,0.00605125492438674,0.043749529868364334,0.037004340440034866,0.007176284212619066,0.0005988268530927598,0.01752454973757267,0.0027301826048642397,0.03817850351333618,0.6130293011665344,0.003979004919528961,0.03398914635181427,0.42249351739883423,0.4166177809238434,0.160888671875
song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,four-model-production-v1,5f676f570f4e80fc37b6829f69be6719808857161a27368334d1569f38fc5bf4,135,complete,success,139,1,009b889b60b6c342f594c2bf0efea537ad62be5f84f790b459ea360a710ad513,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,198,1,5f676f570f4e80fc37b6829f69be6719808857161a27368334d1569f38fc5bf4,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,198,1,5f676f570f4e80fc37b6829f69be6719808857161a27368334d1569f38fc5bf4,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,179,1,5f676f570f4e80fc37b6829f69be6719808857161a27368334d1569f38fc5bf4,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.0026399297639727592,0.0052664997056126595,0.0055099246092140675,0.027904991060495377,0.0005348240956664085,1.283591359424463e-06,3.442978413659148e-05,1.551954665046651e-05,0.00015287981659639627,6.549667159561068e-05,1.410689492331585e-05,0.0011611859081313014,0.0015440359711647034,0.0015949878143146634,0.00817499402910471,0.01118839718401432,0.0014922829577699304,0.36818909645080566,0.39980626106262207,0.0012380010448396206,0.005147775635123253,0.004226617515087128,0.0016200407408177853,0.0016178279183804989,0.002142384648323059,0.002507725963369012,0.000359100493369624,0.000573617173358798,0.0009842774597927928,0.0012903374154120684,0.0012739415979012847,0.00498210871592164,9.938408038578928e-05,0.019570225849747658,0.0003100108297076076,0.0006824271404184401,0.002860947512090206,0.01759297214448452,0.5074334740638733,0.34449875354766846,0.48580417037010193,0.16969703137874603
song_063fd071844935e8fd4f1395eeee736a147d3f13acd2103cd7ddd076c93ada6a,four-model-production-v1,fe9113b89c7f45c684ee1bf60fe54f0a9eab5ef7c9cd75174bd349e2ba825db1,244,complete,success,296,1,1e320885b41aeed14ec06c381268b525b6ef4d97bab06fca8c37936fa082e07d,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,369,1,fe9113b89c7f45c684ee1bf60fe54f0a9eab5ef7c9cd75174bd349e2ba825db1,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,369,1,fe9113b89c7f45c684ee1bf60fe54f0a9eab5ef7c9cd75174bd349e2ba825db1,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,381,1,fe9113b89c7f45c684ee1bf60fe54f0a9eab5ef7c9cd75174bd349e2ba825db1,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.9949954748153687,0.005135972052812576,0.03995446860790253,0.0028012145776301622,0.004757019225507975,3.0042812795727514e-05,0.0006034303805790842,7.233762153191492e-05,0.0006218914058990777,0.0010888573015108705,0.002868841402232647,0.021746354177594185,0.0020115182269364595,0.008237356320023537,0.007856952026486397,0.07487539201974869,0.061151884496212006,0.0019036089070141315,0.0021834196522831917,0.018713250756263733,0.00288208806887269,0.00533949164673686,0.0021090805530548096,0.0005739390035159886,0.007255877368152142,0.001753342803567648,0.0022194699849933386,0.0008212155662477016,0.025493955239653587,0.9385750889778137,0.0013032921124249697,0.01814415492117405,0.0009951333049684763,0.006344192195683718,0.0012695029145106673,0.0018164373468607664,0.0043970453552901745,0.0012074301484972239,0.04035564884543419,0.20911948382854462,0.45853349566459656,0.33234697580337524
song_0952b517e2fef799bf238e7dc58b1371cc57ea3450759f0c13ba18c1ca658fc1,four-model-production-v1,de972cfadf494f258289a3ddde387c2bf7cc2ccfe11dbd320e6c13f4824417dd,709,complete,success,808,1,5c025af576763ee7c19f6189db8e0bf97bb162a1c9aecc0c2b34095284be94d0,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,1156,3,de972cfadf494f258289a3ddde387c2bf7cc2ccfe11dbd320e6c13f4824417dd,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,1156,3,de972cfadf494f258289a3ddde387c2bf7cc2ccfe11dbd320e6c13f4824417dd,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,1142,3,de972cfadf494f258289a3ddde387c2bf7cc2ccfe11dbd320e6c13f4824417dd,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.9932907819747925,0.9959623217582703,0.9936965107917786,0.9946887493133545,0.5314232780498205,0.0026106543154786033,0.3243297142940203,0.009870818245428483,0.1178437280323627,0.021722282424801155,0.012880911948691062,0.0016043964806850678,0.0019171581135105638,0.03216798289253612,0.07539819044006221,0.025182819781844282,0.012936899235478529,0.003108576707103673,0.01519211491593643,0.02561261476167384,0.020420994361859318,0.015554852313587641,0.005035709148831988,0.0015959677918472531,0.0024646627765058647,0.0015019489920321065,0.0001964336606698267,0.0006764717440607887,0.0023961595492638893,0.048790526492553395,0.0008430561764974624,0.007738971114754805,0.00042210968490901475,0.009569552857759102,0.0004619201156079115,0.0010302278479719519,0.006844163466056416,0.0015400318471875177,0.6681420561248456,0.28903206208176035,0.419769053701344,0.29119888918829884
song_098c94ccca359db8e6a9a7a5e4d678f28906d0b215ea72e613efcb940a06511c,four-model-production-v1,b976bb66079218f4427c551e44212d74cea29eb09c9b0e12d6aea499d51a35ab,353,complete,success,399,1,38aa4e11e11039c81910ca0d8a461f6d1f15217fe4f020a7d3ebe8bbc7e4a5a9,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,463,1,b976bb66079218f4427c551e44212d74cea29eb09c9b0e12d6aea499d51a35ab,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,463,1,b976bb66079218f4427c551e44212d74cea29eb09c9b0e12d6aea499d51a35ab,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,483,1,b976bb66079218f4427c551e44212d74cea29eb09c9b0e12d6aea499d51a35ab,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.006278812885284424,0.004259700886905193,0.1735343635082245,0.002045904053375125,0.05758357048034668,3.1460600439459085e-05,0.006137434858828783,0.0019104403909295797,0.005177924409508705,0.0006059553124941885,0.0004530500737018883,0.0014356161700561643,0.0004457161121536046,0.010355263017117977,0.11794814467430115,0.029885005205869675,0.015264725312590599,0.006403578445315361,0.0016292708460241556,0.003227521199733019,0.38093847036361694,0.09361110627651215,0.0030806767754256725,0.004942361265420914,0.0007356454152613878,0.010324464179575443,0.0003357416717335582,0.0023780581541359425,0.0013877075398340821,0.0011746662203222513,0.0204195287078619,0.010544790886342525,0.0007090876461006701,0.040446601808071136,0.0031504270154982805,0.0037263650447130203,0.10088517516851425,0.0012041212758049369,0.3189353048801422,0.3458018898963928,0.4486815333366394,0.20551656186580658
song_0ae5f6cefc72dd648e4af242ede9fc3a429075b6a2fa40106e6966410ea88dc5,four-model-production-v1,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,320,complete,success,348,1,ce97b3df700e5676926dc786b034d9aa405763627f26ada50efd3072f0cb21b8,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,526,2,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,526,2,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,533,2,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.9973880648612976,0.030352158471941948,0.13568449020385742,0.9966260194778442,0.1932804435491562,0.0003067421494051814,0.05076051224023104,0.0004687078617280349,0.05836598575115204,0.01983822463080287,0.019681474659591913,0.5279369056224823,0.005121184862218797,0.002196044777520001,0.0052792534697800875,0.11110685020685196,0.0021243973751552403,0.0011399410432204604,0.00183628941886127,0.002092408947646618,0.00171614286955446,0.002431530272588134,0.0018863769946619868,0.0004898255720036104,0.06902070669457316,0.0012665946560446173,0.0005693002167390659,0.00030941603472456336,0.032863155007362366,0.2569971214979887,0.00038446402322733775,0.003044198267161846,0.0040473631815984845,0.006639641709625721,0.001054105581715703,0.00016843824414536357,0.0007547834247816354,0.003472845535725355,0.10669466480612755,0.2564856693512056,0.3764921884711196,0.36702217192408293
song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,four-model-production-v1,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,166,complete,success,181,1,1ec9d86140b6a86a7d64d0838b04f219466a844f4f45095ccdb23031a0be3ad2,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,259,1,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,259,1,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,246,1,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.6315861940383911,0.0007344101322814822,0.018540220335125923,0.0024292112793773413,0.004013258032500744,2.326497997273691e-05,0.00043298915261402726,7.142221147660166e-05,0.0007211262709461153,0.0023440432269126177,0.0006332724005915225,0.008104459382593632,0.0034672601614147425,0.0012013968080282211,0.004953835159540176,0.09829814732074738,0.004114624112844467,0.001572545268572867,0.003699583699926734,0.008929101750254631,0.0016970121068879962,0.0012315132189542055,0.0005692176637239754,0.00041015041642822325,0.09628470987081528,0.0007831913535483181,0.0004352517717052251,0.0004157221701461822,0.08781442791223526,0.004205713048577309,0.0010316948173567653,0.01097995974123478,0.0024196519516408443,0.008833258412778378,0.003568702843040228,0.00030941289151087403,0.001196171622723341,0.002435968955978751,0.7104146480560303,0.22609545290470123,0.4094010889530182,0.3645034432411194
song_0b640ff50889535179208394488f8a0238ceb517a43c66b5928d1e8be421878e,four-model-production-v1,4aeb3cb26e4e238b0469c1c13e9f93e79d143329c07a5f5ea89ec00685124879,246,complete,success,268,1,9d2b83fd64b0b5879c6d23c4dcdacca4974aff4ff1b5cd02672364aa21b56824,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,success,349,1,4aeb3cb26e4e238b0469c1c13e9f93e79d143329c07a5f5ea89ec00685124879,d5376446b6accee5dd2d346f2d3050f9d8a69af1,c7548aa09468726af4cfdd0959912467784de4a076786913ada9f0f21b68f60d,success,349,1,4aeb3cb26e4e238b0469c1c13e9f93e79d143329c07a5f5ea89ec00685124879,d75048347613a25d77de8cf6412eaae9fa7b26be,84d6d338b4cf63f0ed3c990a0ce748d32d1d2965c072f4645accaa71af3888c0,success,339,1,4aeb3cb26e4e238b0469c1c13e9f93e79d143329c07a5f5ea89ec00685124879,f2f1202b1bdeb07342385c3f807f9c07cd8f5cf8,93316a86051c359748c5d5453e7660c69a21a57cfb477892f95f539e3e171196,0.006225131917744875,0.002969418652355671,0.03288920968770981,0.0038127764128148556,0.007040032651275396,1.4756054952158593e-05,0.0010144945699721575,0.0002933574724011123,0.0009300555684603751,0.0002950218040496111,0.00033362433896400034,0.0014720956096425653,0.0007029647822491825,0.0020711678080260754,0.01213018223643303,0.12585914134979248,0.06261248141527176,0.012121369130909443,0.02143089473247528,0.0027888996992260218,0.004906564950942993,0.006454295013099909,0.0006001043948344886,0.000400391174480319,0.0012143609346821904,0.0020250643137842417,0.00010232453496428207,0.0004977818462066352,0.0014742187922820449,0.0014597177505493164,0.0020818975754082203,0.02328598126769066,0.00033546972554177046,0.02706778235733509,0.0015614950098097324,0.0005526940803974867,0.0033908274490386248,0.0010018135653808713,0.7662351727485657,0.3183493912220001,0.4479289948940277,0.23372159898281097
