family,model_a,label_a,model_b,label_b,aggregation,sample,n,pearson,spearman,mean_absolute_percentile_gap,within_10_percentile_points,opposite_quintiles,high_a_count,high_b_count,high_intersection,high_union,high_jaccard,low_a_count,low_b_count,low_intersection,low_union,low_jaccard
hostility,detoxify,insult,emotion,anger,token_weighted_mean,core_180,180,0.6717705791156419,0.5767461958702429,0.20738671632526381,64,2,36,36,20,52,0.38461538461538464,36,36,15,57,0.2631578947368421
hostility,detoxify,insult,emotion,anger,max,all_200,200,0.676173190886534,0.6326918172954323,0.19432160804020102,72,2,40,40,25,55,0.45454545454545453,40,40,17,63,0.2698412698412698
hostility,detoxify,insult,emotion,anger,max,core_180,180,0.6883330376975535,0.6039672006337644,0.20254500310366233,65,2,36,36,19,53,0.3584905660377358,36,36,14,58,0.2413793103448276
hostility,detoxify,insult,emotion,anger,q90,all_200,200,0.6750987130659222,0.6297352433810846,0.19477386934673366,74,2,40,40,25,55,0.45454545454545453,40,40,17,63,0.2698412698412698
hostility,detoxify,insult,emotion,anger,q90,core_180,180,0.6884880902301733,0.6007839748140374,0.20279329608938548,66,2,36,36,19,53,0.3584905660377358,36,36,15,57,0.2631578947368421
hostility,detoxify,insult,emotion,disgust,mean,all_200,200,0.5231211869745694,0.55668791719793,0.21060301507537688,75,1,40,40,21,59,0.3559322033898305,40,40,16,64,0.25
hostility,detoxify,insult,emotion,disgust,mean,core_180,180,0.46928461317348624,0.5154973918948116,0.22116697703289884,66,2,36,36,16,56,0.2857142857142857,36,36,13,59,0.22033898305084745
hostility,detoxify,insult,emotion,disgust,token_weighted_mean,all_200,200,0.523100316603548,0.55668791719793,0.21060301507537688,75,1,40,40,21,59,0.3559322033898305,40,40,16,64,0.25
hostility,detoxify,insult,emotion,disgust,token_weighted_mean,core_180,180,0.4692911908502052,0.5154973918948116,0.22116697703289884,66,2,36,36,16,56,0.2857142857142857,36,36,13,59,0.22033898305084745
hostility,detoxify,insult,emotion,disgust,max,all_200,200,0.5872009297620155,0.5912172804320108,0.20296482412060302,74,1,40,40,22,58,0.3793103448275862,40,40,15,65,0.23076923076923078
hostility,detoxify,insult,emotion,disgust,max,core_180,180,0.5301854396544027,0.5498708807885017,0.21409062693978895,60,2,36,36,17,55,0.3090909090909091,36,36,13,59,0.22033898305084745
hostility,detoxify,insult,emotion,disgust,q90,all_200,200,0.5788887424929067,0.5856506412660316,0.20427135678391958,75,1,40,40,21,59,0.3559322033898305,40,40,15,65,0.23076923076923078
hostility,detoxify,insult,emotion,disgust,q90,core_180,180,0.5201704777765659,0.5442884039630853,0.21508379888268156,62,2,36,36,18,54,0.3333333333333333,36,36,13,59,0.22033898305084745
romance,emotion,love,bart,romance,mean,all_200,200,0.31955543840704803,0.6160549013725343,0.20296482412060302,58,0,40,40,19,61,0.3114754098360656,40,40,21,59,0.3559322033898305
romance,emotion,love,bart,romance,mean,core_180,180,0.313651356113149,0.6208771875675175,0.2001241464928616,60,0,36,36,16,56,0.2857142857142857,36,36,20,52,0.38461538461538464
romance,emotion,love,bart,romance,token_weighted_mean,all_200,200,0.3195515428470892,0.6160549013725343,0.20296482412060302,58,0,40,40,19,61,0.3114754098360656,40,40,21,59,0.3559322033898305
romance,emotion,love,bart,romance,token_weighted_mean,core_180,180,0.3136464407272305,0.6208771875675175,0.2001241464928616,60,0,36,36,16,56,0.2857142857142857,36,36,20,52,0.38461538461538464
romance,emotion,love,bart,romance,max,all_200,200,0.3175566915515988,0.5948248706217656,0.21015075376884423,53,0,40,40,16,64,0.25,40,40,20,60,0.3333333333333333
romance,emotion,love,bart,romance,max,core_180,180,0.3086111431918467,0.5984649731987612,0.20763500931098697,53,0,36,36,15,57,0.2631578947368421,36,36,19,53,0.3584905660377358
romance,emotion,love,bart,romance,q90,all_200,200,0.3187745039106691,0.5997239930998275,0.20824120603015076,56,0,40,40,17,63,0.2698412698412698,40,40,20,60,0.3333333333333333
romance,emotion,love,bart,romance,q90,core_180,180,0.31037436802208346,0.6026749796804428,0.2058348851644941,54,0,36,36,15,57,0.2631578947368421,36,36,19,53,0.3584905660377358
loss,emotion,sadness,bart,heartbreak,mean,all_200,200,0.2623783691587166,0.5336263406585164,0.21552763819095477,65,3,40,40,20,60,0.3333333333333333,40,40,16,64,0.25
loss,emotion,sadness,bart,heartbreak,mean,core_180,180,0.2603414673824428,0.5420784592117041,0.2127870887647424,58,3,36,36,18,54,0.3333333333333333,36,36,13,59,0.22033898305084745
loss,emotion,sadness,bart,heartbreak,token_weighted_mean,all_200,200,0.26238096703318103,0.5336833420835521,0.21552763819095477,65,3,40,40,20,60,0.3333333333333333,40,40,16,64,0.25
loss,emotion,sadness,bart,heartbreak,token_weighted_mean,core_180,180,0.26034390448697975,0.5420784592117041,0.2127870887647424,58,3,36,36,18,54,0.3333333333333333,36,36,13,59,0.22033898305084745
loss,emotion,sadness,bart,heartbreak,max,all_200,200,0.26348180661394016,0.5091697292432311,0.22532663316582915,60,2,40,40,20,60,0.3333333333333333,40,40,17,63,0.2698412698412698
