model,label,aggregation,sample,n,min,max,mean,median,sd,q05,q25,q75,q95,zero,one,below_01,above_99
lyriclens,sexual,mean,all_200,200,0.0008586191106587648,0.9992576241493225,0.5139171858824557,0.6103951930999756,0.44788325882834296,0.003089766297489405,0.015558527782559395,0.9916720986366272,0.9977193593978881,0,0,41,53
lyriclens,sexual,mean,core_180,180,0.0008586191106587648,0.9988585710525513,0.5077916214792316,0.5612478852272034,0.4454330186252767,0.0030070521519519394,0.017559717409312725,0.9888297766447067,0.9976117849349976,0,0,35,44
lyriclens,sexual,token_weighted_mean,all_200,200,0.0008586191106587648,0.9992576241493225,0.5139171186282042,0.6103951930999756,0.44788276945370714,0.003089766297489405,0.015558527782559395,0.9916720986366272,0.9977193593978881,0,0,41,53
lyriclens,sexual,token_weighted_mean,core_180,180,0.0008586191106587648,0.9988585710525513,0.5077915467522855,0.5612478852272034,0.44543247054575924,0.0030070521519519394,0.017559717409312725,0.9888297766447067,0.9976117849349976,0,0,35,44
lyriclens,sexual,max,all_200,200,0.0008586191106587648,0.9992576241493225,0.5145258309639757,0.6103951930999756,0.44805526666544193,0.003089766297489405,0.015558527782559395,0.9918462187051773,0.9977495074272156,0,0,41,54
lyriclens,sexual,max,core_180,180,0.0008586191106587648,0.9988585710525513,0.5084678937920317,0.5612478852272034,0.44563458881164997,0.0030070521519519394,0.017559717409312725,0.9896195977926254,0.9977193593978881,0,0,35,45
lyriclens,sexual,q90,all_200,200,0.0008586191106587648,0.9992576241493225,0.5144041019476717,0.6103951930999756,0.4480141645749323,0.003089766297489405,0.015558527782559395,0.9916720986366272,0.9977193593978881,0,0,41,53
lyriclens,sexual,q90,core_180,180,0.0008586191106587648,0.9988585710525513,0.5083326393294717,0.5612478852272034,0.44558679466247464,0.0030070521519519394,0.017559717409312725,0.9888297766447067,0.9976117849349976,0,0,35,44
lyriclens,violence,mean,all_200,200,0.0004991397727280855,0.999237060546875,0.2081218037585495,0.007363192504271865,0.37458602479095654,0.001112547644879669,0.00348652241518721,0.08581722155213356,0.9969305664300918,0,0,117,29
lyriclens,violence,mean,core_180,180,0.0004991397727280855,0.999237060546875,0.19732923123390517,0.007191936019808054,0.36802963739220307,0.0012416727608069778,0.0034121713833883405,0.05337869469076395,0.9969440966844558,0,0,108,25
lyriclens,violence,token_weighted_mean,all_200,200,0.0004991397727280855,0.999237060546875,0.2081232628188665,0.007363192504271865,0.3745879030890461,0.001112547644879669,0.00348652241518721,0.08581722155213356,0.9969305664300918,0,0,117,29
lyriclens,violence,token_weighted_mean,core_180,180,0.0004991397727280855,0.999237060546875,0.19733085241203518,0.007191936019808054,0.36803181056194784,0.0012416727608069778,0.0034121713833883405,0.05337869469076395,0.9969440966844558,0,0,108,25
lyriclens,violence,max,all_200,200,0.0004991397727280855,0.999237060546875,0.20968943905900234,0.007363192504271865,0.3772324266851831,0.001112547644879669,0.003518710669595748,0.08581722155213356,0.9969440966844558,0,0,117,30
lyriclens,violence,max,core_180,180,0.0004991397727280855,0.999237060546875,0.1990710482344083,0.007191936019808054,0.3710730835217455,0.0012416727608069778,0.00348652241518721,0.05337869469076395,0.9972072005271911,0,0,108,26
lyriclens,violence,q90,all_200,200,0.0004991397727280855,0.999237060546875,0.20937591199891176,0.007363192504271865,0.37660075751923194,0.001112547644879669,0.00348652241518721,0.08581722155213356,0.9969305664300918,0,0,117,29
