family,model_a,label_a,model_b,label_b,selection,song_id,title,artist,score_a,score_b,percentile_a,percentile_b,absolute_percentile_gap
sexual,detoxify,sexual_explicit,bart,sexual,both_high,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.85885222752889,0.9928072421190748,0.9949748743718593,0.9949748743718593,0.0
sexual,detoxify,sexual_explicit,bart,sexual,both_high,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.8855344653129578,0.988641442890692,1.0,0.9899497487437185,0.01005025125628145
sexual,detoxify,sexual_explicit,bart,sexual,both_low,song_6dc4b05872cf526300be88208f4fd48cdc16f207b865ca7c05fd42fcada13675,Cindy's Birthday,Johnny Crawford,3.126884621451609e-05,0.15732791368157548,0.03015075376884422,0.005025125628140704,0.025125628140703515
sexual,detoxify,sexual_explicit,bart,sexual,both_low,song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),3.421392466407269e-05,0.5020248928234322,0.035175879396984924,0.04020100502512563,0.0050251256281407045
violence,lyriclens,violence,detoxify,threat,a_ranks_lower,song_690e3e60b5c5037449b2757dda9d6757ed3ec925b71a0e80ad7109d85f8667b5,Firecracker,Mass Production,0.0023399631027132273,0.05276978692440014,0.135678391959799,0.9798994974874372,0.8442211055276382
violence,lyriclens,violence,detoxify,threat,a_ranks_lower,song_11fde80db739a6f64d0a9d9b691cf7b6526c1ba2e830f676d5e4a336c17c9df8,How Country Feels,Randy Houser,0.0031637498177587986,0.38061538338661194,0.21105527638190955,0.9949748743718593,0.7839195979899497
violence,lyriclens,violence,detoxify,threat,a_ranks_higher,song_c0c862864db358e90588de9f7252a57d2071427842018127b437850496d715fa,Amen,The Impressions,0.020007962360978127,1.982863796001766e-05,0.6633165829145728,0.02512562814070352,0.6381909547738693
violence,lyriclens,violence,detoxify,threat,a_ranks_higher,song_d6fa79aae091c9b9eefa30e3a78f93ecdbbb66c8c1befb282bb7324a03578d7a,What Is Truth,Johnny Cash,0.9906328916549683,5.134889579494484e-05,0.8693467336683417,0.12060301507537688,0.7487437185929648
violence,lyriclens,violence,detoxify,threat,both_high,song_97cfc67489dd849a26253fcdefcaff63ecc2b80e39a5a4b394c09a496e723f59,You Better You Bet,The Who,0.9975057244300842,0.031227207742631435,0.964824120603015,0.9698492462311558,0.005025125628140725
violence,lyriclens,violence,detoxify,threat,both_high,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9971914887428284,0.027733387735982735,0.9597989949748744,0.964824120603015,0.005025125628140614
violence,lyriclens,violence,detoxify,threat,both_low,song_815056a3d0f74d832a9989d4bcb3e56697b29dd14bd3aaa012fb8c5b6ffde806,I Wrote A Simple Song,Billy Preston,0.002075310330837965,2.988411142723635e-05,0.09045226130653267,0.04522613065326633,0.04522613065326633
