song_id,status,model,classifier_version,content_token_count,chunk_count,content_budget,source_words,normalized_words,lyrics_sha256,normalized_sha256,admiration__max,admiration__mean,admiration__q90,admiration__token_weighted_mean,amusement__max,amusement__mean,amusement__q90,amusement__token_weighted_mean,anger__max,anger__mean,anger__q90,anger__token_weighted_mean,annoyance__max,annoyance__mean,annoyance__q90,annoyance__token_weighted_mean,approval__max,approval__mean,approval__q90,approval__token_weighted_mean,caring__max,caring__mean,caring__q90,caring__token_weighted_mean,confusion__max,confusion__mean,confusion__q90,confusion__token_weighted_mean,curiosity__max,curiosity__mean,curiosity__q90,curiosity__token_weighted_mean,desire__max,desire__mean,desire__q90,desire__token_weighted_mean,disappointment__max,disappointment__mean,disappointment__q90,disappointment__token_weighted_mean,disapproval__max,disapproval__mean,disapproval__q90,disapproval__token_weighted_mean,disgust__max,disgust__mean,disgust__q90,disgust__token_weighted_mean,embarrassment__max,embarrassment__mean,embarrassment__q90,embarrassment__token_weighted_mean,excitement__max,excitement__mean,excitement__q90,excitement__token_weighted_mean,fear__max,fear__mean,fear__q90,fear__token_weighted_mean,gratitude__max,gratitude__mean,gratitude__q90,gratitude__token_weighted_mean,grief__max,grief__mean,grief__q90,grief__token_weighted_mean,joy__max,joy__mean,joy__q90,joy__token_weighted_mean,love__max,love__mean,love__q90,love__token_weighted_mean,nervousness__max,nervousness__mean,nervousness__q90,nervousness__token_weighted_mean,neutral__max,neutral__mean,neutral__q90,neutral__token_weighted_mean,optimism__max,optimism__mean,optimism__q90,optimism__token_weighted_mean,pride__max,pride__mean,pride__q90,pride__token_weighted_mean,realization__max,realization__mean,realization__q90,realization__token_weighted_mean,relief__max,relief__mean,relief__q90,relief__token_weighted_mean,remorse__max,remorse__mean,remorse__q90,remorse__token_weighted_mean,sadness__max,sadness__mean,sadness__q90,sadness__token_weighted_mean,surprise__max,surprise__mean,surprise__q90,surprise__token_weighted_mean
song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,success,emotion,classifier-panel-v1,259,1,510,166,166,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,0.008104459382593632,0.008104459382593632,0.008104459382593632,0.008104459382593632,0.0034672601614147425,0.0034672601614147425,0.0034672601614147425,0.0034672601614147425,0.0012013968080282211,0.0012013968080282211,0.0012013968080282211,0.0012013968080282211,0.004953835159540176,0.004953835159540176,0.004953835159540176,0.004953835159540176,0.09829814732074738,0.09829814732074738,0.09829814732074738,0.09829814732074738,0.004114624112844467,0.004114624112844467,0.004114624112844467,0.004114624112844467,0.001572545268572867,0.001572545268572867,0.001572545268572867,0.001572545268572867,0.003699583699926734,0.003699583699926734,0.003699583699926734,0.003699583699926734,0.008929101750254631,0.008929101750254631,0.008929101750254631,0.008929101750254631,0.0016970121068879962,0.0016970121068879962,0.0016970121068879962,0.0016970121068879962,0.0012315132189542055,0.0012315132189542055,0.0012315132189542055,0.0012315132189542055,0.0005692176637239754,0.0005692176637239754,0.0005692176637239754,0.0005692176637239754,0.00041015041642822325,0.00041015041642822325,0.00041015041642822325,0.00041015041642822325,0.09628470987081528,0.09628470987081528,0.09628470987081528,0.09628470987081528,0.0007831913535483181,0.0007831913535483181,0.0007831913535483181,0.0007831913535483181,0.0004352517717052251,0.0004352517717052251,0.0004352517717052251,0.0004352517717052251,0.0004157221701461822,0.0004157221701461822,0.0004157221701461822,0.0004157221701461822,0.08781442791223526,0.08781442791223526,0.08781442791223526,0.08781442791223526,0.004205713048577309,0.004205713048577309,0.004205713048577309,0.004205713048577309,0.0010316948173567653,0.0010316948173567653,0.0010316948173567653,0.0010316948173567653,0.7104146480560303,0.7104146480560303,0.7104146480560303,0.7104146480560303,0.01097995974123478,0.01097995974123478,0.01097995974123478,0.01097995974123478,0.0024196519516408443,0.0024196519516408443,0.0024196519516408443,0.0024196519516408443,0.008833258412778378,0.008833258412778378,0.008833258412778378,0.008833258412778378,0.003568702843040228,0.003568702843040228,0.003568702843040228,0.003568702843040228,0.00030941289151087403,0.00030941289151087403,0.00030941289151087403,0.00030941289151087403,0.001196171622723341,0.001196171622723341,0.001196171622723341,0.001196171622723341,0.002435968955978751,0.002435968955978751,0.002435968955978751,0.002435968955978751
song_9e3641d00273b9a3b09faf3dccb66583183d28fbee8e60268cab00bc7002cae4,success,emotion,classifier-panel-v1,276,1,510,193,193,a991e07372e3587fdce379d51914f170e256165bd1fb642fa0bc1d94db769383,a991e07372e3587fdce379d51914f170e256165bd1fb642fa0bc1d94db769383,0.008145177736878395,0.008145177736878395,0.008145177736878395,0.008145177736878395,0.0022896151058375835,0.0022896151058375835,0.0022896151058375835,0.0022896151058375835,0.005322500132024288,0.005322500132024288,0.005322500132024288,0.005322500132024288,0.00751417176797986,0.00751417176797986,0.00751417176797986,0.00751417176797986,0.030807731673121452,0.030807731673121452,0.030807731673121452,0.030807731673121452,0.016065815463662148,0.016065815463662148,0.016065815463662148,0.016065815463662148,0.0025519474875181913,0.0025519474875181913,0.0025519474875181913,0.0025519474875181913,0.006356986239552498,0.006356986239552498,0.006356986239552498,0.006356986239552498,0.6134116649627686,0.6134116649627686,0.6134116649627686,0.6134116649627686,0.008155708201229572,0.008155708201229572,0.008155708201229572,0.008155708201229572,0.00411441083997488,0.00411441083997488,0.00411441083997488,0.00411441083997488,0.004898604471236467,0.004898604471236467,0.004898604471236467,0.004898604471236467,0.0007807639194652438,0.0007807639194652438,0.0007807639194652438,0.0007807639194652438,0.009650937281548977,0.009650937281548977,0.009650937281548977,0.009650937281548977,0.0020893278997391462,0.0020893278997391462,0.0020893278997391462,0.0020893278997391462,0.0030800355598330498,0.0030800355598330498,0.0030800355598330498,0.0030800355598330498,0.0010598767548799515,0.0010598767548799515,0.0010598767548799515,0.0010598767548799515,0.008487418293952942,0.008487418293952942,0.008487418293952942,0.008487418293952942,0.6871294975280762,0.6871294975280762,0.6871294975280762,0.6871294975280762,0.001449089264497161,0.001449089264497161,0.001449089264497161,0.001449089264497161,0.04989029839634895,0.04989029839634895,0.04989029839634895,0.04989029839634895,0.028704658150672913,0.028704658150672913,0.028704658150672913,0.028704658150672913,0.0006975785945542157,0.0006975785945542157,0.0006975785945542157,0.0006975785945542157,0.005854791030287743,0.005854791030287743,0.005854791030287743,0.005854791030287743,0.0007941218209452927,0.0007941218209452927,0.0007941218209452927,0.0007941218209452927,0.003270520828664303,0.003270520828664303,0.003270520828664303,0.003270520828664303,0.008355462923645973,0.008355462923645973,0.008355462923645973,0.008355462923645973,0.001545277307741344,0.001545277307741344,0.001545277307741344,0.001545277307741344
song_59328e4ef495b0a2eead2600eb40694f1921b10840b1f242e3580ce8c59f8a86,success,emotion,classifier-panel-v1,344,1,510,234,234,6abbe2290340e13d37d5c5ef3ab7736b0b8c80565eb6b92483d56c64a2a43251,6abbe2290340e13d37d5c5ef3ab7736b0b8c80565eb6b92483d56c64a2a43251,0.0042957435362041,0.0042957435362041,0.0042957435362041,0.0042957435362041,0.030992912128567696,0.030992912128567696,0.030992912128567696,0.030992912128567696,0.003831961192190647,0.003831961192190647,0.003831961192190647,0.003831961192190647,0.01544421911239624,0.01544421911239624,0.01544421911239624,0.01544421911239624,0.010988020338118076,0.010988020338118076,0.010988020338118076,0.010988020338118076,0.001438488019630313,0.001438488019630313,0.001438488019630313,0.001438488019630313,0.0009211395517922938,0.0009211395517922938,0.0009211395517922938,0.0009211395517922938,0.0008411522139795125,0.0008411522139795125,0.0008411522139795125,0.0008411522139795125,0.0013425644719973207,0.0013425644719973207,0.0013425644719973207,0.0013425644719973207,0.007847842760384083,0.007847842760384083,0.007847842760384083,0.007847842760384083,0.0035694048274308443,0.0035694048274308443,0.0035694048274308443,0.0035694048274308443,0.0064004394225776196,0.0064004394225776196,0.0064004394225776196,0.0064004394225776196,0.003707724856212735,0.003707724856212735,0.003707724856212735,0.003707724856212735,0.006676298566162586,0.006676298566162586,0.006676298566162586,0.006676298566162586,0.015201464295387268,0.015201464295387268,0.015201464295387268,0.015201464295387268,0.00031970214331522584,0.00031970214331522584,0.00031970214331522584,0.00031970214331522584,0.0014275509165599942,0.0014275509165599942,0.0014275509165599942,0.0014275509165599942,0.011724538169801235,0.011724538169801235,0.011724538169801235,0.011724538169801235,0.0011818098137155175,0.0011818098137155175,0.0011818098137155175,0.0011818098137155175,0.002372380346059799,0.002372380346059799,0.002372380346059799,0.002372380346059799,0.8969147801399231,0.8969147801399231,0.8969147801399231,0.8969147801399231,0.0021231016144156456,0.0021231016144156456,0.0021231016144156456,0.0021231016144156456,0.0014750431291759014,0.0014750431291759014,0.0014750431291759014,0.0014750431291759014,0.014527848921716213,0.014527848921716213,0.014527848921716213,0.014527848921716213,0.0015295576304197311,0.0015295576304197311,0.0015295576304197311,0.0015295576304197311,0.0005920169060118496,0.0005920169060118496,0.0005920169060118496,0.0005920169060118496,0.008439184166491032,0.008439184166491032,0.008439184166491032,0.008439184166491032,0.004410494584590197,0.004410494584590197,0.004410494584590197,0.004410494584590197
song_c4eabeecb02281b19acf05dac0942d25da1b7cae44fc83479a18c5a5594546ab,success,emotion,classifier-panel-v1,309,1,510,196,196,389f8fe04bdf7f4bb6f46f6bd45a97b00e26a61411fbff4ae9aa073b5aa80fe2,389f8fe04bdf7f4bb6f46f6bd45a97b00e26a61411fbff4ae9aa073b5aa80fe2,0.09914325177669525,0.09914325177669525,0.09914325177669525,0.09914325177669525,0.038641203194856644,0.038641203194856644,0.038641203194856644,0.038641203194856644,0.0014461349928751588,0.0014461349928751588,0.0014461349928751588,0.0014461349928751588,0.012490716762840748,0.012490716762840748,0.012490716762840748,0.012490716762840748,0.07921157777309418,0.07921157777309418,0.07921157777309418,0.07921157777309418,0.002038625068962574,0.002038625068962574,0.002038625068962574,0.002038625068962574,0.0005516131059266627,0.0005516131059266627,0.0005516131059266627,0.0005516131059266627,0.0006398261757567525,0.0006398261757567525,0.0006398261757567525,0.0006398261757567525,0.001137919258326292,0.001137919258326292,0.001137919258326292,0.001137919258326292,0.003312920220196247,0.003312920220196247,0.003312920220196247,0.003312920220196247,0.0017908563604578376,0.0017908563604578376,0.0017908563604578376,0.0017908563604578376,0.001367809483781457,0.001367809483781457,0.001367809483781457,0.001367809483781457,0.0009762061526998878,0.0009762061526998878,0.0009762061526998878,0.0009762061526998878,0.014178303070366383,0.014178303070366383,0.014178303070366383,0.014178303070366383,0.0006990679539740086,0.0006990679539740086,0.0006990679539740086,0.0006990679539740086,0.0005367581034079194,0.0005367581034079194,0.0005367581034079194,0.0005367581034079194,0.0004269192577339709,0.0004269192577339709,0.0004269192577339709,0.0004269192577339709,0.034775663167238235,0.034775663167238235,0.034775663167238235,0.034775663167238235,0.0023425640538334846,0.0023425640538334846,0.0023425640538334846,0.0023425640538334846,0.0004593974445015192,0.0004593974445015192,0.0004593974445015192,0.0004593974445015192,0.6841419339179993,0.6841419339179993,0.6841419339179993,0.6841419339179993,0.004688504617661238,0.004688504617661238,0.004688504617661238,0.004688504617661238,0.005583818536251783,0.005583818536251783,0.005583818536251783,0.005583818536251783,0.01992124132812023,0.01992124132812023,0.01992124132812023,0.01992124132812023,0.0029086717404425144,0.0029086717404425144,0.0029086717404425144,0.0029086717404425144,0.0001979949593078345,0.0001979949593078345,0.0001979949593078345,0.0001979949593078345,0.0007414094870910048,0.0007414094870910048,0.0007414094870910048,0.0007414094870910048,0.0022488280665129423,0.0022488280665129423,0.0022488280665129423,0.0022488280665129423
song_fed7c74ad967767c8732088a2935e6279881ee63bf2cc773490807c416c8707a,success,emotion,classifier-panel-v1,268,1,510,128,128,6e22ecd5fe7ffbf1c9c0b96f62ffafff3147325f976ec3c7d0af8cde8f6b321a,6e22ecd5fe7ffbf1c9c0b96f62ffafff3147325f976ec3c7d0af8cde8f6b321a,0.0018844285514205694,0.0018844285514205694,0.0018844285514205694,0.0018844285514205694,0.002386074047535658,0.002386074047535658,0.002386074047535658,0.002386074047535658,0.003258974989876151,0.003258974989876151,0.003258974989876151,0.003258974989876151,0.008740900084376335,0.008740900084376335,0.008740900084376335,0.008740900084376335,0.013452932238578796,0.013452932238578796,0.013452932238578796,0.013452932238578796,0.0009755437495186925,0.0009755437495186925,0.0009755437495186925,0.0009755437495186925,0.002984695602208376,0.002984695602208376,0.002984695602208376,0.002984695602208376,0.0013653211062774062,0.0013653211062774062,0.0013653211062774062,0.0013653211062774062,0.000987622537650168,0.000987622537650168,0.000987622537650168,0.000987622537650168,0.003934511914849281,0.003934511914849281,0.003934511914849281,0.003934511914849281,0.008406214416027069,0.008406214416027069,0.008406214416027069,0.008406214416027069,0.002522337017580867,0.002522337017580867,0.002522337017580867,0.002522337017580867,0.0008719259058125317,0.0008719259058125317,0.0008719259058125317,0.0008719259058125317,0.0015727885765954852,0.0015727885765954852,0.0015727885765954852,0.0015727885765954852,0.0013993304455652833,0.0013993304455652833,0.0013993304455652833,0.0013993304455652833,0.0007798504666425288,0.0007798504666425288,0.0007798504666425288,0.0007798504666425288,0.0004592842306010425,0.0004592842306010425,0.0004592842306010425,0.0004592842306010425,0.0015239946078509092,0.0015239946078509092,0.0015239946078509092,0.0015239946078509092,0.001193989417515695,0.001193989417515695,0.001193989417515695,0.001193989417515695,0.0003290877502877265,0.0003290877502877265,0.0003290877502877265,0.0003290877502877265,0.9657362103462219,0.9657362103462219,0.9657362103462219,0.9657362103462219,0.0017877494683489203,0.0017877494683489203,0.0017877494683489203,0.0017877494683489203,0.0003005031612701714,0.0003005031612701714,0.0003005031612701714,0.0003005031612701714,0.007212942466139793,0.007212942466139793,0.007212942466139793,0.007212942466139793,0.0003345543809700757,0.0003345543809700757,0.0003345543809700757,0.0003345543809700757,0.0003904190380126238,0.0003904190380126238,0.0003904190380126238,0.0003904190380126238,0.002460821997374296,0.002460821997374296,0.002460821997374296,0.002460821997374296,0.0010070052230730653,0.0010070052230730653,0.0010070052230730653,0.0010070052230730653
song_0349520b5c7c2e4422a70fce1d2df78432df63f0a6e704fa01bbfef8e34ebe24,success,emotion,classifier-panel-v1,213,1,510,169,169,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,cbb2bb46e4369fefdab5d656dd36e415101920c937e3922faaa497bbb44604e7,0.0022750620264559984,0.0022750620264559984,0.0022750620264559984,0.0022750620264559984,0.0016342742601409554,0.0016342742601409554,0.0016342742601409554,0.0016342742601409554,0.010904338210821152,0.010904338210821152,0.010904338210821152,0.010904338210821152,0.045910198241472244,0.045910198241472244,0.045910198241472244,0.045910198241472244,0.011271651834249496,0.011271651834249496,0.011271651834249496,0.011271651834249496,0.015074525028467178,0.015074525028467178,0.015074525028467178,0.015074525028467178,0.08403007686138153,0.08403007686138153,0.08403007686138153,0.08403007686138153,0.017744500190019608,0.017744500190019608,0.017744500190019608,0.017744500190019608,0.03491632267832756,0.03491632267832756,0.03491632267832756,0.03491632267832756,0.35655468702316284,0.35655468702316284,0.35655468702316284,0.35655468702316284,0.021052032709121704,0.021052032709121704,0.021052032709121704,0.021052032709121704,0.005049070343375206,0.005049070343375206,0.005049070343375206,0.005049070343375206,0.004999053198844194,0.004999053198844194,0.004999053198844194,0.004999053198844194,0.0031354811508208513,0.0031354811508208513,0.0031354811508208513,0.0031354811508208513,0.007573040202260017,0.007573040202260017,0.007573040202260017,0.007573040202260017,0.0008228613878600299,0.0008228613878600299,0.0008228613878600299,0.0008228613878600299,0.010782700963318348,0.010782700963318348,0.010782700963318348,0.010782700963318348,0.00605125492438674,0.00605125492438674,0.00605125492438674,0.00605125492438674,0.043749529868364334,0.043749529868364334,0.043749529868364334,0.043749529868364334,0.037004340440034866,0.037004340440034866,0.037004340440034866,0.037004340440034866,0.03398914635181427,0.03398914635181427,0.03398914635181427,0.03398914635181427,0.007176284212619066,0.007176284212619066,0.007176284212619066,0.007176284212619066,0.0005988268530927598,0.0005988268530927598,0.0005988268530927598,0.0005988268530927598,0.01752454973757267,0.01752454973757267,0.01752454973757267,0.01752454973757267,0.0027301826048642397,0.0027301826048642397,0.0027301826048642397,0.0027301826048642397,0.03817850351333618,0.03817850351333618,0.03817850351333618,0.03817850351333618,0.6130293011665344,0.6130293011665344,0.6130293011665344,0.6130293011665344,0.003979004919528961,0.003979004919528961,0.003979004919528961,0.003979004919528961
song_b32a265f2ff03acfa08f045465ca51a6fb31e221f2824a03ef7c5889cee866af,success,emotion,classifier-panel-v1,178,1,510,132,132,e9662c513697a8ff6a505aa8d0aaa5a7a41275ba9049efc772945a694373b4ee,e9662c513697a8ff6a505aa8d0aaa5a7a41275ba9049efc772945a694373b4ee,0.007463853340595961,0.007463853340595961,0.007463853340595961,0.007463853340595961,0.001288664061576128,0.001288664061576128,0.001288664061576128,0.001288664061576128,0.014428718015551567,0.014428718015551567,0.014428718015551567,0.014428718015551567,0.012172716669738293,0.012172716669738293,0.012172716669738293,0.012172716669738293,0.03910965844988823,0.03910965844988823,0.03910965844988823,0.03910965844988823,0.0919632762670517,0.0919632762670517,0.0919632762670517,0.0919632762670517,0.003067648969590664,0.003067648969590664,0.003067648969590664,0.003067648969590664,0.0028618862852454185,0.0028618862852454185,0.0028618862852454185,0.0028618862852454185,0.1384173482656479,0.1384173482656479,0.1384173482656479,0.1384173482656479,0.010529900901019573,0.010529900901019573,0.010529900901019573,0.010529900901019573,0.02413344383239746,0.02413344383239746,0.02413344383239746,0.02413344383239746,0.0031909127719700336,0.0031909127719700336,0.0031909127719700336,0.0031909127719700336,0.0008557192049920559,0.0008557192049920559,0.0008557192049920559,0.0008557192049920559,0.004674235824495554,0.004674235824495554,0.004674235824495554,0.004674235824495554,0.0025544953532516956,0.0025544953532516956,0.0025544953532516956,0.0025544953532516956,0.008157213218510151,0.008157213218510151,0.008157213218510151,0.008157213218510151,0.0016430432442575693,0.0016430432442575693,0.0016430432442575693,0.0016430432442575693,0.00791759230196476,0.00791759230196476,0.00791759230196476,0.00791759230196476,0.8939260244369507,0.8939260244369507,0.8939260244369507,0.8939260244369507,0.0018236933974549174,0.0018236933974549174,0.0018236933974549174,0.0018236933974549174,0.04640977829694748,0.04640977829694748,0.04640977829694748,0.04640977829694748,0.07002116739749908,0.07002116739749908,0.07002116739749908,0.07002116739749908,0.0010382675100117922,0.0010382675100117922,0.0010382675100117922,0.0010382675100117922,0.007734012324362993,0.007734012324362993,0.007734012324362993,0.007734012324362993,0.0013332556700333953,0.0013332556700333953,0.0013332556700333953,0.0013332556700333953,0.006043172441422939,0.006043172441422939,0.006043172441422939,0.006043172441422939,0.011609228327870369,0.011609228327870369,0.011609228327870369,0.011609228327870369,0.0014121984131634235,0.0014121984131634235,0.0014121984131634235,0.0014121984131634235
song_35ce7e7873a409ae1706d3313a3b256be8827fa7b204440d044e01006d777cb8,success,emotion,classifier-panel-v1,184,1,510,139,139,9f0ce0233b2ed90bc98a08adb36a6aa9575b95c4c7e60b47a9ba487e5264f61f,9f0ce0233b2ed90bc98a08adb36a6aa9575b95c4c7e60b47a9ba487e5264f61f,0.001176065648905933,0.001176065648905933,0.001176065648905933,0.001176065648905933,0.002128474647179246,0.002128474647179246,0.002128474647179246,0.002128474647179246,0.010318336077034473,0.010318336077034473,0.010318336077034473,0.010318336077034473,0.0741034746170044,0.0741034746170044,0.0741034746170044,0.0741034746170044,0.012429379858076572,0.012429379858076572,0.012429379858076572,0.012429379858076572,0.004978196229785681,0.004978196229785681,0.004978196229785681,0.004978196229785681,0.4178329408168793,0.4178329408168793,0.4178329408168793,0.4178329408168793,0.32003387808799744,0.32003387808799744,0.32003387808799744,0.32003387808799744,0.003927635494619608,0.003927635494619608,0.003927635494619608,0.003927635494619608,0.15870437026023865,0.15870437026023865,0.15870437026023865,0.15870437026023865,0.024105558171868324,0.024105558171868324,0.024105558171868324,0.024105558171868324,0.003794423071667552,0.003794423071667552,0.003794423071667552,0.003794423071667552,0.006251329090446234,0.006251329090446234,0.006251329090446234,0.006251329090446234,0.002352470764890313,0.002352470764890313,0.002352470764890313,0.002352470764890313,0.007883129641413689,0.007883129641413689,0.007883129641413689,0.007883129641413689,0.00010982104868162423,0.00010982104868162423,0.00010982104868162423,0.00010982104868162423,0.0025600194931030273,0.0025600194931030273,0.0025600194931030273,0.0025600194931030273,0.0022900302428752184,0.0022900302428752184,0.0022900302428752184,0.0022900302428752184,0.0045461030676960945,0.0045461030676960945,0.0045461030676960945,0.0045461030676960945,0.014728405512869358,0.014728405512869358,0.014728405512869358,0.014728405512869358,0.2477291375398636,0.2477291375398636,0.2477291375398636,0.2477291375398636,0.006844108458608389,0.006844108458608389,0.006844108458608389,0.006844108458608389,0.00020918803056702018,0.00020918803056702018,0.00020918803056702018,0.00020918803056702018,0.01887635327875614,0.01887635327875614,0.01887635327875614,0.01887635327875614,0.0008329639676958323,0.0008329639676958323,0.0008329639676958323,0.0008329639676958323,0.003678222419694066,0.003678222419694066,0.003678222419694066,0.003678222419694066,0.05648444592952728,0.05648444592952728,0.05648444592952728,0.05648444592952728,0.009004215709865093,0.009004215709865093,0.009004215709865093,0.009004215709865093
song_4a225ece50c775ee4f1d96ae38d401c088742b3f1525d0467f18be399a7233b9,success,emotion,classifier-panel-v1,207,1,510,175,175,4c5c8b4307b1ff5c1ab7043c183cbe434898fba88ed264b25b54bc610bc34d50,4c5c8b4307b1ff5c1ab7043c183cbe434898fba88ed264b25b54bc610bc34d50,0.007328531239181757,0.007328531239181757,0.007328531239181757,0.007328531239181757,0.0042766365222632885,0.0042766365222632885,0.0042766365222632885,0.0042766365222632885,0.01283564604818821,0.01283564604818821,0.01283564604818821,0.01283564604818821,0.016457227990031242,0.016457227990031242,0.016457227990031242,0.016457227990031242,0.00978789571672678,0.00978789571672678,0.00978789571672678,0.00978789571672678,0.016646219417452812,0.016646219417452812,0.016646219417452812,0.016646219417452812,0.010184775106608868,0.010184775106608868,0.010184775106608868,0.010184775106608868,0.029581066220998764,0.029581066220998764,0.029581066220998764,0.029581066220998764,0.04143921658396721,0.04143921658396721,0.04143921658396721,0.04143921658396721,0.15304718911647797,0.15304718911647797,0.15304718911647797,0.15304718911647797,0.007189273368567228,0.007189273368567228,0.007189273368567228,0.007189273368567228,0.007425662130117416,0.007425662130117416,0.007425662130117416,0.007425662130117416,0.0047415439039468765,0.0047415439039468765,0.0047415439039468765,0.0047415439039468765,0.009095723740756512,0.009095723740756512,0.009095723740756512,0.009095723740756512,0.010846366174519062,0.010846366174519062,0.010846366174519062,0.010846366174519062,0.0013834139099344611,0.0013834139099344611,0.0013834139099344611,0.0013834139099344611,0.038658589124679565,0.038658589124679565,0.038658589124679565,0.038658589124679565,0.020991897210478783,0.020991897210478783,0.020991897210478783,0.020991897210478783,0.529020369052887,0.529020369052887,0.529020369052887,0.529020369052887,0.020235523581504822,0.020235523581504822,0.020235523581504822,0.020235523581504822,0.029068786650896072,0.029068786650896072,0.029068786650896072,0.029068786650896072,0.004917776212096214,0.004917776212096214,0.004917776212096214,0.004917776212096214,0.0009625958628021181,0.0009625958628021181,0.0009625958628021181,0.0009625958628021181,0.01696711778640747,0.01696711778640747,0.01696711778640747,0.01696711778640747,0.0032466116826981306,0.0032466116826981306,0.0032466116826981306,0.0032466116826981306,0.02576611377298832,0.02576611377298832,0.02576611377298832,0.02576611377298832,0.8319674730300903,0.8319674730300903,0.8319674730300903,0.8319674730300903,0.01435963436961174,0.01435963436961174,0.01435963436961174,0.01435963436961174
song_6dc4b05872cf526300be88208f4fd48cdc16f207b865ca7c05fd42fcada13675,success,emotion,classifier-panel-v1,158,1,510,119,119,1745409b22da4b50895ff3d70ff22ba4939aadcbf6f1648fb684eb3adf0a8ae4,1745409b22da4b50895ff3d70ff22ba4939aadcbf6f1648fb684eb3adf0a8ae4,0.006600681226700544,0.006600681226700544,0.006600681226700544,0.006600681226700544,0.0031696606893092394,0.0031696606893092394,0.0031696606893092394,0.0031696606893092394,0.002153565641492605,0.002153565641492605,0.002153565641492605,0.002153565641492605,0.009771973825991154,0.009771973825991154,0.009771973825991154,0.009771973825991154,0.013490550220012665,0.013490550220012665,0.013490550220012665,0.013490550220012665,0.0050845216028392315,0.0050845216028392315,0.0050845216028392315,0.0050845216028392315,0.0009561008191667497,0.0009561008191667497,0.0009561008191667497,0.0009561008191667497,0.002164276549592614,0.002164276549592614,0.002164276549592614,0.002164276549592614,0.03267299756407738,0.03267299756407738,0.03267299756407738,0.03267299756407738,0.006083925720304251,0.006083925720304251,0.006083925720304251,0.006083925720304251,0.001952209509909153,0.001952209509909153,0.001952209509909153,0.001952209509909153,0.0012731525348499417,0.0012731525348499417,0.0012731525348499417,0.0012731525348499417,0.0010473706061020494,0.0010473706061020494,0.0010473706061020494,0.0010473706061020494,0.3249724805355072,0.3249724805355072,0.3249724805355072,0.3249724805355072,0.0018187594832852483,0.0018187594832852483,0.0018187594832852483,0.0018187594832852483,0.00508073577657342,0.00508073577657342,0.00508073577657342,0.00508073577657342,0.0016072830185294151,0.0016072830185294151,0.0016072830185294151,0.0016072830185294151,0.1742708683013916,0.1742708683013916,0.1742708683013916,0.1742708683013916,0.005386288743466139,0.005386288743466139,0.005386288743466139,0.005386288743466139,0.0025396610144525766,0.0025396610144525766,0.0025396610144525766,0.0025396610144525766,0.22354598343372345,0.22354598343372345,0.22354598343372345,0.22354598343372345,0.006649857386946678,0.006649857386946678,0.006649857386946678,0.006649857386946678,0.0035994432400912046,0.0035994432400912046,0.0035994432400912046,0.0035994432400912046,0.007974682375788689,0.007974682375788689,0.007974682375788689,0.007974682375788689,0.00623488612473011,0.00623488612473011,0.00623488612473011,0.00623488612473011,0.000830582226626575,0.000830582226626575,0.000830582226626575,0.000830582226626575,0.009064823389053345,0.009064823389053345,0.009064823389053345,0.009064823389053345,0.006252543069422245,0.006252543069422245,0.006252543069422245,0.006252543069422245
