song_id,title,artist,variant,input_tokens,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,inference_seconds
song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,original_replay,335,0.8070418834686279,0.001271967776119709,0.029100894927978516,0.005590940359979868,0.03319590166211128,0.5534355640411377,0.001449488801881671,0.08688304084353149
song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,unique_lines,225,0.7443807125091553,0.0005223144544288516,0.012725703418254852,0.003808199195191264,0.05821799114346504,0.48322397470474243,0.0007268462213687599,0.05882779089733958
song_e850a0ebd5865cbcde0d7358f03fb5b1793e1d046b07f23d6f6f42c012be6355,Cry Just A Little,Paul Davis,tail_510_tokens,335,0.8070418834686279,0.001271967776119709,0.029100894927978516,0.005590940359979868,0.03319590166211128,0.5534355640411377,0.001449488801881671,0.08549412502907217
song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,original_replay,271,0.9155669808387756,0.00011148829071316868,0.013382097706198692,0.0018532270332798362,0.8672122955322266,0.0001802002516342327,0.0006066455389373004,0.07004195800982416
song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,unique_lines,162,0.9696683883666992,4.9326779844705015e-05,0.002302037086337805,0.000618177349679172,0.9550833702087402,0.00011259502934990451,0.00027029638295061886,0.05229658307507634
song_8c9359eb2bcab6780ed3a7cdca143da09375324d2952065a07d7adb88bf11161,Foolish Heart,Steve Perry,tail_510_tokens,271,0.9155669808387756,0.00011148829071316868,0.013382097706198692,0.0018532270332798362,0.8672122955322266,0.0001802002516342327,0.0006066455389373004,0.06893908302299678
song_aa13e5b19bab07dc2e5fc83d007dd90e21decb27057023685ff0ca1d8ba13b42,Smack That,Akon Featuring Eminem,original_replay,512,0.17303524911403656,0.00028490094700828195,0.04118424654006958,0.0030196430161595345,0.011601057834923267,0.006767494138330221,0.009796292521059513,0.12420054106041789
song_aa13e5b19bab07dc2e5fc83d007dd90e21decb27057023685ff0ca1d8ba13b42,Smack That,Akon Featuring Eminem,unique_lines,459,0.041899826377630234,0.00014071271289139986,0.0044166333973407745,0.005221675615757704,0.0031219562515616417,0.001212921692058444,0.007687567733228207,0.11333583388477564
song_aa13e5b19bab07dc2e5fc83d007dd90e21decb27057023685ff0ca1d8ba13b42,Smack That,Akon Featuring Eminem,tail_510_tokens,512,0.10674237459897995,0.00039231247501447797,0.018809230998158455,0.009014484472572803,0.0075431098230183125,0.004443708807229996,0.014690217562019825,0.12463066610507667
song_84fb3306a13f9324e94484bea63edeaa1e6248de1587badbb758a41c3fef27e6,Because I Got High,Afroman,original_replay,512,0.26388439536094666,0.001620826660655439,0.27481725811958313,0.0029999641701579094,0.011714547872543335,0.0006474945112131536,0.13648617267608643,0.12326083309017122
song_84fb3306a13f9324e94484bea63edeaa1e6248de1587badbb758a41c3fef27e6,Because I Got High,Afroman,unique_lines,512,0.30876871943473816,0.002292772987857461,0.4087093770503998,0.004800317343324423,0.022526852786540985,0.0006432204390875995,0.08075606822967529,0.12374645820818841
song_84fb3306a13f9324e94484bea63edeaa1e6248de1587badbb758a41c3fef27e6,Because I Got High,Afroman,tail_510_tokens,512,0.8076257109642029,0.01458849385380745,0.7995684742927551,0.011210163123905659,0.09252061694860458,0.0016749995993450284,0.25403061509132385,0.1252339999191463
song_e8f0cbf6b127bb0d2d327524f99a3faffc1aa86c24cd4d6f2f351910f8dba31c,Survivor,Destiny's Child,original_replay,512,0.370415598154068,0.00047418149188160896,0.13053640723228455,0.0012155662989243865,0.014341996982693672,0.011346453800797462,0.004737373907119036,0.1259741249959916
song_e8f0cbf6b127bb0d2d327524f99a3faffc1aa86c24cd4d6f2f351910f8dba31c,Survivor,Destiny's Child,unique_lines,496,0.07791566103696823,0.0002352591691305861,0.007110224105417728,0.018158335238695145,0.0059282416477799416,0.001942249364219606,0.0007821363396942616,0.12277154205366969
song_e8f0cbf6b127bb0d2d327524f99a3faffc1aa86c24cd4d6f2f351910f8dba31c,Survivor,Destiny's Child,tail_510_tokens,512,0.015825534239411354,3.730420212377794e-05,0.007014630828052759,0.00036373065086081624,0.0007881408673711121,0.0005334217566996813,0.00040441943565383554,0.12837412510998547
song_16908002829a856192b2e3b24d6c58c39106117ffcc515d050022040305006b9,Overnight Celebrity,Twista,original_replay,512,0.07499995827674866,0.00013404179480858147,0.03633233159780502,0.0021595931611955166,0.011492028832435608,0.00036510132486000657,0.00766639644280076,0.12796945800073445
song_16908002829a856192b2e3b24d6c58c39106117ffcc515d050022040305006b9,Overnight Celebrity,Twista,unique_lines,512,0.1947299838066101,0.000460322160506621,0.09330996125936508,0.003691602498292923,0.01797580160200596,0.00043575349263846874,0.06363020837306976,0.1293897081632167
song_16908002829a856192b2e3b24d6c58c39106117ffcc515d050022040305006b9,Overnight Celebrity,Twista,tail_510_tokens,512,0.07752389460802078,9.600605699233711e-05,0.007238463498651981,0.004906846676021814,0.006365678738802671,0.0043389033526182175,0.005610419437289238,0.12464520777575672
song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,original_replay,512,0.9501702785491943,0.04890337958931923,0.865727424621582,0.21462035179138184,0.3307372033596039,0.022449109703302383,0.3200988173484802,0.12614333303645253
song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,unique_lines,512,0.9437627792358398,0.04312262311577797,0.8509652018547058,0.22950927913188934,0.31610339879989624,0.021073633804917336,0.29559266567230225,0.12556758290156722
song_69823ed1beab1c15adab303458294de6aa805b844e4d9bc1cb759b53d8e1d0b8,Murder On My Mind,YNW Melly,tail_510_tokens,512,0.9877556562423706,0.14941275119781494,0.9444165229797363,0.21686634421348572,0.5972764492034912,0.042950257658958435,0.2570631504058838,0.12679129093885422
song_11fde80db739a6f64d0a9d9b691cf7b6526c1ba2e830f676d5e4a336c17c9df8,How Country Feels,Randy Houser,original_replay,351,0.6942803263664246,0.0008735090959817171,0.0250992551445961,0.01623241975903511,0.03974463790655136,0.38061538338661194,0.005269663408398628,0.08748083282262087
song_11fde80db739a6f64d0a9d9b691cf7b6526c1ba2e830f676d5e4a336c17c9df8,How Country Feels,Randy Houser,unique_lines,201,0.35031598806381226,0.00018227081454824656,0.005633968859910965,0.009153991937637329,0.020013390108942986,0.15760253369808197,0.002101401099935174,0.058353166095912457
song_11fde80db739a6f64d0a9d9b691cf7b6526c1ba2e830f676d5e4a336c17c9df8,How Country Feels,Randy Houser,tail_510_tokens,351,0.6942803263664246,0.0008735090959817171,0.0250992551445961,0.01623241975903511,0.03974463790655136,0.38061538338661194,0.005269663408398628,0.08947612508200109
