primary_genre,classifier,paired_rolling_endpoints,mean_absolute_difference,max_absolute_difference,mean_signed_difference,equal_weight_endpoint_change,rank_weighted_endpoint_change
Afrobeats / African Pop,emotion_excitement,0,,,,,
Afrobeats / African Pop,emotion_fear,0,,,,,
Afrobeats / African Pop,emotion_gratitude,0,,,,,
Afrobeats / African Pop,emotion_grief,0,,,,,
Afrobeats / African Pop,emotion_joy,0,,,,,
Afrobeats / African Pop,emotion_love,0,,,,,
Afrobeats / African Pop,emotion_nervousness,0,,,,,
Afrobeats / African Pop,emotion_neutral,0,,,,,
Afrobeats / African Pop,emotion_optimism,0,,,,,
Afrobeats / African Pop,emotion_pride,0,,,,,
Afrobeats / African Pop,emotion_realization,0,,,,,
Afrobeats / African Pop,emotion_relief,0,,,,,
Afrobeats / African Pop,emotion_remorse,0,,,,,
Afrobeats / African Pop,emotion_sadness,0,,,,,
Afrobeats / African Pop,emotion_surprise,0,,,,,
Afrobeats / African Pop,ll_explicit_language,0,,,,,
Afrobeats / African Pop,ll_sexual_content,0,,,,,
Afrobeats / African Pop,ll_substance_use,0,,,,,
Afrobeats / African Pop,ll_violence,0,,,,,
Afrobeats / African Pop,sentiment_negative,0,,,,,
Afrobeats / African Pop,sentiment_neutral,0,,,,,
Afrobeats / African Pop,sentiment_positive,0,,,,,
Alternative / Indie,detox_identity_attack,87,0.0005304403448,0.002081677079,-0.0002435094922,-4.74026155e-05,-0.0003820430737
Alternative / Indie,detox_insult,87,0.007903345093,0.01802836782,0.002440796606,0.005649293875,-0.0001380937183
Alternative / Indie,detox_obscene,87,0.01211732043,0.0587200913,-0.00177872107,0.01276336545,0.00620431296
Alternative / Indie,detox_severe_toxicity,87,0.0003155809688,0.002578536882,-7.502881019e-05,5.558148957e-05,4.339310593e-05
Alternative / Indie,detox_sexual_explicit,87,0.004832045991,0.02505682794,0.0001536668166,-0.005837681489,-0.002847399905
Alternative / Indie,detox_threat,87,0.002215999174,0.01191915888,-0.0009963663957,0.008551826878,0.01044162994
Alternative / Indie,detox_toxicity,87,0.01240105283,0.06563303057,-0.002148752897,0.04307963618,0.04461137507
Alternative / Indie,emotion_admiration,87,0.004371076973,0.02088575453,-0.003382153761,0.003689869986,0.006740465594
Alternative / Indie,emotion_amusement,87,0.004779077704,0.02039718632,0.00109092531,-0.009530062367,-0.003076860849
Alternative / Indie,emotion_anger,87,0.005584505061,0.02804662656,-0.001489795447,0.006018804683,0.00733945653
