primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
Jazz / Blues,emotion_amusement,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_anger,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_annoyance,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_approval,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_caring,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_confusion,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_curiosity,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_desire,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_disappointment,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_disapproval,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_disgust,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_embarrassment,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_excitement,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_fear,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_gratitude,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_grief,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_joy,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_love,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_nervousness,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_neutral,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_optimism,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_pride,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_realization,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_relief,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_remorse,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_sadness,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,emotion_surprise,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,ll_explicit_language,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,ll_sexual_content,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,ll_substance_use,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,ll_violence,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,sentiment_negative,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,sentiment_neutral,818,408,99,781,95.47677262,373,90.97560976,37,0,False
Jazz / Blues,sentiment_positive,818,408,99,781,95.47677262,373,90.97560976,37,0,False
